file_path,file_name,lines,type,path,filename,season,episode,series
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E07.eng.ass,Outcast_S05_E07.eng.ass,415,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E07.eng.ass,Outcast_S05_E07.eng.ass,5,7,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E08.eng.ass,Outcast_S05_E08.eng.ass,401,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E08.eng.ass,Outcast_S05_E08.eng.ass,5,8,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E09.eng.ass,Outcast_S05_E09.eng.ass,533,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E09.eng.ass,Outcast_S05_E09.eng.ass,5,9,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E10.eng.ass,Outcast_S05_E10.eng.ass,509,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E10.eng.ass,Outcast_S05_E10.eng.ass,5,10,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E11.eng.ass,Outcast_S05_E11.eng.ass,510,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E11.eng.ass,Outcast_S05_E11.eng.ass,5,11,The Outcast
E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E12.eng.ass,Outcast_S05_E12.eng.ass,507,ass,E:/z_project_extract/The Outcast/Season 5/Subtitles/Outcast_S05_E12.eng.ass,Outcast_S05_E12.eng.ass,5,12,The Outcast
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E01.eng.ass,To_Be Hero_S01_E01.eng.ass,420,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E01.eng.ass,To_Be Hero_S01_E01.eng.ass,1,1,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E02.eng.ass,To_Be Hero_S01_E02.eng.ass,314,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E02.eng.ass,To_Be Hero_S01_E02.eng.ass,1,2,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E03.eng.ass,To_Be Hero_S01_E03.eng.ass,281,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E03.eng.ass,To_Be Hero_S01_E03.eng.ass,1,3,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E04.eng.ass,To_Be Hero_S01_E04.eng.ass,402,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E04.eng.ass,To_Be Hero_S01_E04.eng.ass,1,4,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E05.eng.ass,To_Be Hero_S01_E05.eng.ass,403,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E05.eng.ass,To_Be Hero_S01_E05.eng.ass,1,5,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E06.eng.ass,To_Be Hero_S01_E06.eng.ass,328,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E06.eng.ass,To_Be Hero_S01_E06.eng.ass,1,6,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E07.eng.ass,To_Be Hero_S01_E07.eng.ass,315,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E07.eng.ass,To_Be Hero_S01_E07.eng.ass,1,7,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E08.eng.ass,To_Be Hero_S01_E08.eng.ass,387,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E08.eng.ass,To_Be Hero_S01_E08.eng.ass,1,8,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E09.eng.ass,To_Be Hero_S01_E09.eng.ass,317,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E09.eng.ass,To_Be Hero_S01_E09.eng.ass,1,9,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E10.eng.ass,To_Be Hero_S01_E10.eng.ass,319,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E10.eng.ass,To_Be Hero_S01_E10.eng.ass,1,10,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E11.eng.ass,To_Be Hero_S01_E11.eng.ass,229,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E11.eng.ass,To_Be Hero_S01_E11.eng.ass,1,11,To Be Hero
E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E12.eng.ass,To_Be Hero_S01_E12.eng.ass,280,ass,E:/z_project_extract/To Be Hero/Season 1/subs/To_Be Hero_S01_E12.eng.ass,To_Be Hero_S01_E12.eng.ass,1,12,To Be Hero
